ID,Gender,Age,EmployedStatus,YearsOfEmployed,OccupationType,IncomeType,TotalIncome,EducationLevel,HousingType,OwnCar,OwnProperty,FamilyStatus,NumOfChildren,NumOfFamilyMember,AccountActivateLength,WorkPhone,Phone,Email,Risk_TargetVariable
5008804,1,32.86857361889703,0,12.435573625741801,Other,Working,427500.0,Higher education,Rented apartment,1,1,Civil marriage,0,2,15,1,0,0,1
5008806,1,58.79381506807121,0,3.1047865459249677,Security staff,Working,112500.0,Secondary / secondary special,House / apartment,1,1,Married,0,2,29,0,0,0,0
5008808,0,52.32140290355038,0,8.353354278321937,Sales staff,Commercial associate,270000.0,Secondary / secondary special,House / apartment,0,1,Single / not married,0,1,4,0,1,1,0
5008812,0,61.504343004989835,1,0.0,Other,Pensioner,283500.0,Higher education,House / apartment,0,1,Separated,0,1,20,0,0,0,0
5008815,1,46.1939670219101,0,2.1054504883741623,Accountants,Working,270000.0,Higher education,House / apartment,1,1,Married,0,2,5,1,1,1,0
5008819,1,48.67451077024169,0,3.269060966344278,Laborers,Commercial associate,135000.0,Secondary / secondary special,House / apartment,1,1,Married,0,2,17,0,0,0,0
5008825,0,29.210729857560388,0,3.019911428708324,Accountants,Working,130500.0,Incomplete higher,House / apartment,1,0,Married,0,2,25,0,0,0,1
5008830,0,27.463945187101718,0,4.021985393266117,Laborers,Working,157500.0,Secondary / secondary special,House / apartment,0,1,Married,0,2,31,0,1,0,1
5008834,0,30.02936405264995,0,4.435409351321383,Other,Working,112500.0,Secondary / secondary special,House / apartment,0,1,Single / not married,1,2,44,0,0,0,0
5008836,1,34.74130201167717,0,3.1841858491276342,Laborers,Working,270000.0,Secondary / secondary special,House / apartment,1,1,Married,3,5,24,0,0,0,0
5008838,1,32.42229477675791,0,5.519620526088831,Managers,Commercial associate,405000.0,Higher education,House / apartment,0,1,Married,1,3,39,0,0,0,0
5008844,1,56.132569457278386,0,12.183686181098858,Drivers,Commercial associate,112500.0,Secondary / secondary special,House / apartment,1,1,Married,0,2,43,0,1,0,0
5008854,0,43.15215233714587,0,8.687378933174534,Laborers,Working,135000.0,Secondary / secondary special,House / apartment,1,1,Married,2,4,39,0,0,0,0
5008868,0,44.38694839729769,0,19.436401842611414,Core staff,State servant,211500.0,Secondary / secondary special,House / apartment,0,1,Civil marriage,1,3,24,0,0,0,0
5008872,1,45.64090980649842,0,14.686133185486355,Security staff,Commercial associate,360000.0,Secondary / secondary special,House / apartment,1,1,Married,0,2,10,0,1,0,1
5008873,0,33.98016386373437,0,4.854309123390624,Managers,Commercial associate,126000.0,Higher education,House / apartment,0,1,Married,2,4,21,0,0,1,0
5008884,0,55.26739084307001,1,0.0,Other,Pensioner,315000.0,Secondary / secondary special,House / apartment,0,1,Widow,0,1,40,0,0,0,0
5008888,0,46.58822563091645,0,3.6879607384135196,Core staff,Commercial associate,247500.0,Higher education,Rented apartment,0,1,Separated,0,1,11,0,0,0,0
5008891,0,42.48957884145465,0,8.854391260600833,Laborers,Commercial associate,297000.0,Secondary / secondary special,Rented apartment,0,1,Single / not married,0,1,7,0,0,0,0
5008942,0,37.35052738933722,0,13.267897355866308,High skill tech staff,Commercial associate,157500.0,Higher education,House / apartment,0,0,Married,0,2,43,0,1,0,1
5008947,1,42.39375209621005,0,3.8549730658398187,Drivers,Working,135000.0,Secondary / secondary special,House / apartment,0,1,Married,0,2,12,1,1,0,0
