,Gender,Age,UnemployedStatus,YearsOfEmployed,OccupationType,IncomeType,TotalIncome,EducationLevel,HousingType,OwnCar,OwnProperty,FamilyStatus,NumOfChildren,NumOfFamilyMember,AccountActivateLength,WorkPhone,Phone,Email
4028,0,46.380144698385315,0,1.5414416449345298,8,4,81000.0,4,1,0,1,1,0,2,14,0,0,0
8035,0,50.68687242037824,0,1.1800379200120468,12,0,135000.0,4,1,0,0,3,0,1,57,0,1,0
7012,0,62.895199764539996,1,0.0,12,1,67500.0,4,1,0,0,4,0,1,6,0,0,0
1991,0,52.723875233577694,0,4.068529812384922,10,4,162000.0,1,1,0,1,1,0,2,8,0,1,0
8522,0,30.28672731130687,0,0.36687953893646,0,0,135000.0,1,1,1,1,0,1,3,49,0,1,0
3318,0,40.93992347549916,0,22.20168791966981,10,0,270000.0,1,1,0,0,1,0,2,41,1,1,0
8859,1,30.12792870490154,0,7.518292641190442,12,4,166500.0,4,1,0,1,1,2,4,2,1,1,0
6610,0,32.91511803801584,0,6.343730535192372,8,4,112500.0,4,1,0,1,1,2,4,57,0,0,0
2780,0,38.70305345078955,0,20.260511851714956,10,4,247500.0,1,1,0,0,1,0,2,14,1,1,0
992,1,29.35583892893078,0,0.2546253516499312,2,4,180000.0,2,5,1,1,1,0,2,46,0,0,0
241,0,63.891797915083814,1,0.0,12,1,126000.0,4,1,1,1,1,0,2,27,0,0,0
5782,0,30.771336851543836,0,8.263003347091315,11,4,90000.0,3,1,0,1,1,0,2,15,0,1,0
1723,1,32.096483842926276,0,8.219196834979499,12,4,270000.0,1,1,1,0,1,2,4,19,0,1,0
7965,0,42.2623325598746,0,5.347132384648555,3,4,76500.0,4,1,0,0,1,0,2,41,1,0,0
7483,1,32.72894036154062,0,1.278602572263633,4,4,180000.0,4,1,1,1,3,0,1,48,0,0,1
9271,0,45.43009096696031,0,5.013107729795958,15,4,135000.0,4,1,1,1,1,0,2,12,0,0,0
7956,0,31.965064306590826,0,10.34655057940957,15,4,148500.0,4,1,1,0,1,1,3,32,1,0,0
9140,0,32.80286385072931,0,8.117894275720925,0,4,121500.0,1,1,0,1,1,1,3,33,1,0,0
4743,0,64.72138373820133,1,0.0,12,1,81000.0,4,1,0,1,4,0,1,23,0,0,0
4167,0,44.0967302545569,0,1.5031109468366906,6,4,157500.0,1,1,0,1,3,1,2,37,0,1,0
6534,1,35.70230737113014,0,3.348460269546945,3,0,202500.0,1,1,0,0,1,1,3,47,1,0,0
9183,0,58.24349575966652,1,0.0,12,1,180000.0,4,1,0,1,0,0,2,7,0,0,0
5710,0,34.79332224480996,0,12.342484787504192,3,4,292500.0,1,1,0,1,1,2,4,5,0,1,1
2904,0,31.321656159948528,0,6.631210770926165,15,0,337500.0,4,1,0,1,3,2,3,59,0,0,0
5667,1,56.932038303319025,0,4.941922147614256,4,4,202500.0,4,1,0,1,1,0,2,41,0,0,1
4342,0,53.02778291135341,0,8.263003347091315,15,0,225000.0,1,1,1,1,1,0,2,5,1,1,1
1439,0,42.79074861222338,0,0.9746948944879087,15,4,171000.0,4,1,0,1,1,0,2,44,0,0,0
4909,0,40.13771672245152,0,2.902181427407818,1,4,234000.0,4,1,1,1,0,0,2,34,0,0,0
7550,0,43.71342327357851,0,8.364305906349891,3,4,225000.0,1,1,0,0,1,0,2,21,0,0,0
258,0,64.10261675462193,1,0.0,12,1,157500.0,4,1,0,1,1,0,2,35,0,0,0
5158,0,27.693929375688754,0,2.4230477011848293,3,4,112500.0,1,1,0,1,1,2,4,7,0,0,0
9221,0,36.64688528854117,0,0.517464424320828,6,4,90000.0,4,1,1,1,1,1,3,3,0,0,0
7617,1,40.184261141570325,0,10.781877793520742,8,4,135000.0,4,1,1,1,1,2,4,60,1,0,0
3179,0,41.44643627179203,0,4.84335749536267,8,4,144000.0,4,1,0,1,3,0,1,47,1,0,0
1407,1,34.01301874781823,0,15.3897752862824,10,4,337500.0,1,1,1,1,1,1,3,42,0,0,1
1752,0,47.17687563741897,0,0.2162946535520921,8,4,112500.0,4,1,0,1,2,1,2,38,1,1,0
5726,1,36.64962319554816,0,4.676345167936371,4,4,126000.0,4,1,0,1,1,1,3,8,0,0,1
1558,0,48.80319239957015,0,23.02579792877335,8,4,90000.0,4,1,0,0,1,0,2,39,1,1,0
8557,0,63.28124465252537,1,0.0,12,1,216000.0,4,1,0,1,1,0,2,53,0,0,0
6874,1,37.035668083533544,0,3.1568067790577494,6,4,81000.0,4,1,1,1,1,0,2,18,0,0,0
7368,0,59.77672368358009,1,0.0,12,1,144000.0,4,1,0,0,1,0,2,9,0,0,0
9482,0,31.97601593461878,0,5.7112740165780265,11,4,90000.0,4,1,0,1,1,1,3,51,0,0,1
151,1,35.59005318384361,0,4.271134930902072,10,0,1350000.0,1,2,1,0,1,0,2,45,0,1,1
3401,0,42.77705907718844,0,22.374176061110084,6,4,135000.0,1,1,0,1,1,1,3,50,1,1,0
6925,0,29.251798462665214,0,2.82552003121214,0,0,495000.0,1,1,0,1,1,0,2,26,0,0,0
8480,0,55.64248410302744,0,4.7885993552229,8,4,135000.0,4,1,0,1,1,0,2,57,0,0,0
6388,1,54.92515246719645,0,16.34530483172139,8,4,180000.0,4,1,0,1,1,0,2,43,0,0,0
1010,0,40.479955098325085,0,13.339082938048008,10,4,157500.0,1,1,1,1,1,1,3,24,0,0,0
6185,0,62.101206732513326,1,0.0,12,1,67500.0,4,1,0,0,1,0,2,51,0,0,0
4029,0,62.69259464602285,1,0.0,12,1,54000.0,4,1,0,1,4,0,1,42,0,0,1
65,0,57.3673655174302,0,23.7759844486882,0,2,292500.0,4,1,0,0,1,0,2,21,1,1,0
701,0,65.58930025941669,1,0.0,12,1,76500.0,1,1,0,1,1,0,2,7,0,0,0
2968,0,37.564084135882325,0,5.295112151515774,15,0,450000.0,1,1,0,0,1,0,2,9,0,1,0
